record_id,publication_year,observation_period,table_id,topic,table_title,header_index,excel_column_number,measure,population,unit,denominator,header_notes,table_notes,breakdowns,row_count,candidate_dimensions,review_status,source_workbook,source_sheet,derived_file
2006-07:4-3:3,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",3,5,Mobile wireless,Innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:4,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",4,6,Satellite,Innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:5,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",5,7,DSL,Non innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:6,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",6,8,Cable,Non innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:7,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",7,9,Fixed wireless,Non innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:8,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",8,10,Mobile wireless,Non innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:9,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",9,11,Satellite,Non innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:10,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",10,12,DSL,All businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:11,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",11,13,Cable,All businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:12,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",12,14,Fixed wireless,All businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
